source_month,event_time,ts,ts_event,ts_vhist,bus,tr_seq,route_clean,stop_id_clean,stop_name_raw_clean,text_clean,description_clean,media_text_clean,corrected_rider_num
02,2025-02-13 09:05:14,2025-02-13 09:05:14,2025-02-13 09:05:14,,2102,59.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:05:43,2025-02-13 09:05:43,2025-02-13 09:05:43,,2102,60.0,32,,,Got fare,,,1
02,2025-02-13 09:05:43,2025-02-13 09:05:43,2025-02-13 09:05:43,,2102,60.0,32,,,Got fare,,,1
02,2025-02-13 09:06:36,2025-02-13 09:06:36,2025-02-13 09:06:36,,2102,61.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:06:36,2025-02-13 09:06:36,2025-02-13 09:06:36,,2102,61.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:06:41,2025-02-13 09:06:41,2025-02-13 09:06:41,,2102,62.0,32,,,Mobile Ticket Transaction,15 Ride Pass Mobile,15 RIDE,1
02,2025-02-13 09:06:41,2025-02-13 09:06:41,2025-02-13 09:06:41,,2102,62.0,32,,,Mobile Ticket Transaction,15 Ride Pass Mobile,15 RIDE,1
02,2025-02-13 09:06:44,2025-02-13 09:06:44,2025-02-13 09:06:44,,2102,63.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:06:44,2025-02-13 09:06:44,2025-02-13 09:06:44,,2102,63.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:06:48,2025-02-13 09:06:48,2025-02-13 09:06:48,,2102,64.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:06:48,2025-02-13 09:06:48,2025-02-13 09:06:48,,2102,64.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:06:51,2025-02-13 09:06:51,2025-02-13 09:06:51,,2102,65.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:06:51,2025-02-13 09:06:51,2025-02-13 09:06:51,,2102,65.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:17:09,2025-02-13 09:17:09,2025-02-13 09:17:09,,2102,66.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:17:09,2025-02-13 09:17:09,2025-02-13 09:17:09,,2102,66.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:20:19,2025-02-13 09:20:19,2025-02-13 09:20:19,,2102,67.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:20:19,2025-02-13 09:20:19,2025-02-13 09:20:19,,2102,67.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:24:13,2025-02-13 09:24:13,2025-02-13 09:24:13,,2102,68.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:24:13,2025-02-13 09:24:13,2025-02-13 09:24:13,,2102,68.0,32,,,Special card,Cornell Card,Cornell,1
